Fecha;VAL356CI8017-Conductividad;VAL356M003-Carga Motor;VAL356M014-Carga Motor;VAL356M015-Carga Motor;VAL356PI8026-Ind.Presi—n;VAL356PIC8025-Ind.Presi—n;VAL356TI8015-Ind.Temperatura;VAL356TIC8014-Ind.Temperatura;Estado
24-06-2012 9:38;3,1;68,6958542;18,0566856;23,8082969;19,7769389;19,5;72,3945976;127,9661686;0
24-06-2012 11:38;3,1;68,3699986;16,2072033;23,6986336;19,6468409;19,5;72,5833913;128,0449681;0
24-06-2012 13:38;3,2;67,6889458;18,3868056;23,8784722;19,5562995;19,5;72,7180908;128,1140306;0
24-06-2012 15:38;3,2;67,5525833;17,1034722;23,9032447;19,6408302;19,5;72,8293487;128,1642464;0
24-06-2012 17:38;3,1;68,3847447;17,0839247;24,0448994;19,7481359;19,5;73,1934361;128,2183395;0
24-06-2012 19:38;3;69,3210714;17,3605197;24,1472222;20,2129868;19,5;74,2122162;128,3339786;0
24-06-2012 21:38;3;70,2893539;18,0756944;24,4962933;19,8830843;19,5;74,3075884;128,4695438;0
24-06-2012 23:38;2,9;70,7627181;18,5743056;24,5516119;19,9910341;19,5;73,0705138;128,4754397;0
25-06-2012 1:38;2,9;71,4944747;15,6179383;24,2240756;20,1894057;19,5;72,5364962;128,2303468;0
25-06-2012 3:38;2,9;70,643205;16,6195617;23,8088003;20,1815527;19,5;72,1657931;127,9853049;0
25-06-2012 5:38;2,8;70,3727342;17,2041667;23,7745331;20,118955;19,5;71,7492105;127,8309777;0
25-06-2012 7:38;2,8;69,9300417;15,1147611;23,4115781;20,0329049;19,5;71,269933;127,7060205;0
25-06-2012 9:38;2,8;68,3546141;15,7444581;23,3338164;19,9857562;19,5;71,0539435;127,5486066;0
25-06-2012 11:38;2,8;66,9964828;18,1763889;23,4653003;20,0894498;19,7;71,894603;128,1152882;0
25-06-2012 13:38;2,9;66,7500156;21,267065;23,6472222;20,2024984;20;72,8927585;128,8582129;0
25-06-2012 15:38;2,7;67,4478958;21,8682961;24,1375139;19,9222249;20;73,8025801;129,1090845;0
25-06-2012 17:38;2,7;68,2278389;22,9569444;24,1840572;19,7701901;19,7;74,7221042;128,9983484;0
25-06-2012 19:38;2,8;70,2030692;22,3715903;24,650915;19,6054222;19,5;75,7308119;128,846857;0
25-06-2012 21:38;2,6;72,2176561;21,9019803;24,4249219;19,9827958;19,5;75,5762962;128,5159026;0
25-06-2012 23:38;2,6;71,8972222;17,8564303;20,6661892;19,6292461;19,5;73,2352608;128,1644933;0
26-06-2012 1:38;2,6;69,7100826;16,7820547;18,9768083;19,7741038;19,5;72,3927294;127,9401342;0
26-06-2012 3:38;2,6;68,8989035;18,0415694;18,8562906;19,9191528;19,5;71,952495;127,8091436;0
26-06-2012 5:38;3,3;67,196518;20,9997661;20,286133;20,0813574;19,5;71,8925902;127,7620151;0
26-06-2012 7:38;2,5;66,1388203;21,0461894;21,2046362;20,2545859;19,8;72,7945735;128,0841673;0
26-06-2012 9:38;2,7;65,7594414;23,5601903;21,1916667;20,2162596;20;74,0607085;128,4486389;0
26-06-2012 11:38;2,7;66,3752394;27,88125;21,2286997;19,8788501;20;76,9758962;128,5918015;0
26-06-2012 13:38;2,7;68,1681528;29,4980903;21,4833403;19,403558;19,2;76,3434035;128,5723252;0
26-06-2012 15:38;2,7;69,7761181;24,7359444;21,4926283;19,5086903;19;75,0015546;128,5578198;0
26-06-2012 17:38;2,6;69,2798836;21,3590278;21,3721772;19,5509123;19,4;73,5565798;128,5652033;0
26-06-2012 19:38;2,7;67,8270158;23,0715278;21,0884669;19,5816199;19,5;73,3915261;128,5724224;0
26-06-2012 21:38;2,7;67,2389039;22,7895833;20,9865556;19,6027068;19,5;73,3990183;128,0993852;0
26-06-2012 23:38;2,7;67,4023078;24,6521808;20,8346997;19,7059006;19,5;74,8612893;127,2734099;0
27-06-2012 1:38;2,7;68,8264583;30,3447769;21,2028367;20,2077491;19,5;78,7025565;127,7160438;0
27-06-2012 3:38;2,8;70,6008994;27,4656742;22,0430886;19,2151693;19,5;77,7103604;128,5798514;0
27-06-2012 5:38;2,7;70,0824408;21,3007431;23,0698889;19,5909571;19,5;74,252666;128,5848807;0
27-06-2012 7:38;2,7;68,9327919;22,7681806;22,53029;19,471229;19,5;74,3417903;128,3532709;0
27-06-2012 9:38;2,7;67,2141508;25,56875;22,2958783;20,0206407;19,9;75,7054173;127,8041207;0
27-06-2012 11:38;2,8;67,8338558;30,9993056;22,8245556;19,7488008;20;77,6780553;127,4413951;0
27-06-2012 13:38;2,8;70,7424692;31,0222222;23,8411997;19,3657362;19,8;77,6882268;128,6276256;0
27-06-2012 15:38;2,7;72,1628589;24,7242025;23,5844792;19,4976267;19,2;77,2141166;129,1315368;0
27-06-2012 17:38;2,6;72,5166772;23,3813531;23,2388889;19,9346913;19,4;75,074705;129,0273187;0
27-06-2012 19:38;2,6;71,6078228;20,5603875;22,5073889;19,3951447;19,4;74,2605146;128,6147808;0
27-06-2012 21:38;2,6;66,7974047;26,0139181;21,8944444;19,6727849;19,4;76,2659779;127,836149;0
27-06-2012 23:38;2,5;67,9867844;24,5832161;21,7768558;19,5564942;19,3;76,4176553;127,793634;0
28-06-2012 1:38;2,7;65,719545;25,3056728;21,5398108;16,7638638;17;70,6974758;129,7628427;0
28-06-2012 3:38;2,6;66,9987936;21,7611111;22,2930556;19,3016022;19,2;73,5463075;129,3340036;0
28-06-2012 5:38;2,5;67,5853439;24,3978889;22,1014028;19,3409965;19,2;74,9513597;128,8898769;0
28-06-2012 7:38;2,5;68,1727222;22,8597222;22,3745331;19,3608071;19,2;74,4476965;128,6389051;0
28-06-2012 9:38;2,5;68,8229047;23,3768936;22,5778003;19,3085483;19,2;74,4362157;128,4364942;0
28-06-2012 11:38;2,6;69,841965;22,8015786;22,8805556;19,2546687;19,2;74,2575812;128,3171129;0
28-06-2012 13:38;2,6;71,2483647;22,0785764;22,9768628;19,5562843;19,2;73,7868856;128,3227196;0
28-06-2012 15:38;2,5;71,5377732;17,5555556;22,6305331;20,0485532;19,5;73,3571536;128,325152;0
28-06-2012 17:38;2,6;71,0189663;18,0386878;22,6009444;20,1104711;20;73,4824294;128,2848468;0
28-06-2012 19:38;2,7;70,9016283;18,7087783;22,2074114;20,0227407;20;73,7698226;128,233797;0
